sim_pos: tensor(440.8347, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(381.3990, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(458.7603, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(440.5906, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(416.2845, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(439.5977, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(463.8447, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(426.5209, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(409.5319, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(429.4599, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(435.7206, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(411.0354, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(430.9707, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(407.9223, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(432.6178, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(366.3270, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(424.0118, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(434.6022, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(393.5129, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(443.2441, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(381.6415, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(421.7773, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(358.8749, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(405.9240, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(363.0883, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(380.1974, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(389.4661, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(364.8524, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(403.1963, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(376.4254, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(396.0040, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(398.3625, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(404.3676, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(362.2952, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(377.6786, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(369.0743, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(386.0699, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(364.6264, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(370.0223, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(368.8623, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(366.8271, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(401.2792, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(399.4911, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(394.3196, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(385.0628, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(388.8989, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(388.0596, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(387.2017, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(384.2427, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(388.5800, device='cuda:0', grad_fn=<DivBackward0>)
sim_pos: tensor(387.4214, device='cuda:0', grad_fn=<DivBackward0>)
